score_year,portfolio,n_funds,future_alpha_annual
2000,Q1,6,0.016094863724159806
2001,Q1,6,-0.028629611856132265
2002,Q1,7,0.04777125414232353
2003,Q1,7,0.03094156065778662
2004,Q1,7,0.07402375239317717
2005,Q1,7,0.021032128211989503
2006,Q1,8,-0.022870570256068763
2007,Q1,8,-0.08308511596108561
2008,Q1,8,0.13733933818969518
2009,Q1,9,0.02635263652923559
2010,Q1,9,-0.005358908608095723
2011,Q1,9,0.012028909052169832
2012,Q1,9,0.0394056980148795
2013,Q1,9,-0.01170072453992097
2014,Q1,9,0.028849041050083925
2015,Q1,9,-0.06175695338226905
2016,Q1,9,0.04544045484732425
2017,Q1,10,0.003508616525638754
2018,Q1,10,0.024678377312260226
2019,Q1,10,0.025124440958735107
2020,Q1,10,0.003377400708943247
2021,Q1,10,-0.039409119238385346
2022,Q1,10,0.002442203614599494
2023,Q1,10,-0.0006104787402971898
2024,Q1,10,0.010661645974364366
2000,Q2,6,-0.02934323789950649
2001,Q2,6,-0.03037748040924812
2002,Q2,7,0.011310403238958457
2003,Q2,7,0.00818021963204101
2004,Q2,7,0.0002659969801499055
2005,Q2,7,-0.019763357829128806
2006,Q2,7,-0.005228487153775225
2007,Q2,8,-0.0047162965516246965
2008,Q2,8,0.0843324913892188
2009,Q2,8,0.00482071274452705
2010,Q2,8,0.010069410982777909
2011,Q2,8,0.008916374192286615
2012,Q2,8,-0.0057493876913383
2013,Q2,9,-0.006160806422932497
2014,Q2,9,0.018772824887147037
2015,Q2,9,-0.007782926598002338
2016,Q2,9,0.046943968124330986
2017,Q2,9,-0.039597542348971136
2018,Q2,9,0.0012989480720213557
2019,Q2,9,-0.014868620572074998
2020,Q2,10,-0.021375790069727892
2021,Q2,10,-0.002177578782506936
2022,Q2,10,-0.02163707005433762
2023,Q2,10,-0.018155764562959028
2024,Q2,10,-0.02149632315824581
2000,Q3,5,0.014097575088154785
2001,Q3,5,0.01850496237660431
2002,Q3,6,-0.0023689925515278268
2003,Q3,7,0.02049381443479579
2004,Q3,7,0.0022103010651242125
2005,Q3,7,-0.0011618539170406338
2006,Q3,7,-0.0022064309300985135
2007,Q3,7,-0.040287976341041885
2008,Q3,8,0.05331915498768168
2009,Q3,8,-0.01744026267076398
2010,Q3,8,-0.002354469383631622
2011,Q3,8,0.009982246048950448
2012,Q3,8,-0.01413881015564842
2013,Q3,9,0.008239493424240824
2014,Q3,9,0.01695345066632859
2015,Q3,9,-0.004388446464790944
2016,Q3,9,0.02112778215623461
2017,Q3,9,-0.01872620439457855
2018,Q3,9,0.025872225890755284
2019,Q3,10,0.004039489775987394
2020,Q3,9,0.02458647553022049
2021,Q3,9,-0.0038847708376347012
2022,Q3,9,0.031191686539317323
2023,Q3,9,-0.009550399447023116
2024,Q3,9,0.013355915114356168
2000,Q4,6,0.05441099085125114
2001,Q4,6,-0.00426898325706102
2002,Q4,7,0.0003260214813645204
2003,Q4,7,0.0049097715199565095
2004,Q4,7,0.03709101060284786
2005,Q4,7,-0.03371476353770101
2006,Q4,7,0.008371759981291223
2007,Q4,8,-0.03309053164009434
2008,Q4,8,0.06696284149480132
2009,Q4,8,-0.011320780150404447
2010,Q4,8,0.009110443430920679
2011,Q4,8,0.023895597313256904
2012,Q4,8,-0.009239349085006886
2013,Q4,9,0.007951265528929656
2014,Q4,9,0.007449064534633864
2015,Q4,9,0.01509183496857527
2016,Q4,9,0.015286652315856868
2017,Q4,9,-0.012291907387516428
2018,Q4,9,-0.010818513861478257
2019,Q4,9,0.012094171615790052
2020,Q4,10,0.03162008845380655
2021,Q4,10,-0.04402664654053688
2022,Q4,10,-0.030552996905123482
2023,Q4,10,-0.028649572278981395
2024,Q4,10,-0.008084911375022808
2000,Q5,6,-0.015747477994793712
2001,Q5,6,-0.000816335220245055
2002,Q5,7,-0.0038105040573781896
2003,Q5,7,-0.03911394361329756
2004,Q5,7,0.03525133935315899
2005,Q5,7,-0.020403919028887395
2006,Q5,8,-0.009247508734028501
2007,Q5,8,-0.08477318075800548
2008,Q5,8,-0.021324603737321625
2009,Q5,8,-0.023434453855403235
2010,Q5,8,-0.05769869913012315
2011,Q5,8,0.0397367528310367
2012,Q5,8,-0.011543513845100856
2013,Q5,9,-0.014465009157019775
2014,Q5,9,0.022697368846533447
2015,Q5,9,0.00866774491501943
2016,Q5,9,0.01867073854735104
2017,Q5,9,-0.004600104974413206
2018,Q5,10,0.0025576132707008127
2019,Q5,10,0.09270070050963733
2020,Q5,10,0.01486643735500664
2021,Q5,10,-0.056152025305042416
2022,Q5,10,0.04222453443784753
2023,Q5,10,-0.056532404937028026
2024,Q5,10,0.022626361739048216
2000,Q5-Q1,6,-0.03184234171895352
2001,Q5-Q1,6,0.02781327663588721
2002,Q5-Q1,7,-0.05158175819970172
2003,Q5-Q1,7,-0.07005550427108417
2004,Q5-Q1,7,-0.03877241304001818
2005,Q5-Q1,7,-0.0414360472408769
2006,Q5-Q1,8,0.013623061522040262
2007,Q5-Q1,8,-0.0016880647969198664
2008,Q5-Q1,8,-0.1586639419270168
2009,Q5-Q1,8,-0.04978709038463883
2010,Q5-Q1,8,-0.052339790522027425
2011,Q5-Q1,8,0.027707843778866866
2012,Q5-Q1,8,-0.05094921185998036
2013,Q5-Q1,9,-0.002764284617098805
2014,Q5-Q1,9,-0.006151672203550479
2015,Q5-Q1,9,0.07042469829728848
2016,Q5-Q1,9,-0.026769716299973212
2017,Q5-Q1,9,-0.008108721500051961
2018,Q5-Q1,10,-0.022120764041559413
2019,Q5-Q1,10,0.06757625955090223
2020,Q5-Q1,10,0.011489036646063393
2021,Q5-Q1,10,-0.01674290606665707
2022,Q5-Q1,10,0.03978233082324804
2023,Q5-Q1,10,-0.05592192619673084
