year,portfolio,n_funds,n_obs,alpha_daily,alpha_annual,alpha_t,alpha_p
2000,Q1,6,252,0.0007613708011960817,0.1918654419014126,3.300185572878053,0.000966209156337956
2001,Q1,6,248,-0.0002569444657450962,-0.06475000536776424,-1.2942133306589416,0.19559174341776664
2002,Q1,7,252,-8.024167247893505e-05,-0.020220901464691632,-0.4845175726463631,0.6280185961922797
2003,Q1,7,252,-2.414695533907164e-05,-0.006085032745446054,-0.3291150635289143,0.7420687188697819
2004,Q1,8,252,-5.4754660370287714e-05,-0.013798174413312504,-0.4498624174331095,0.6528096480964285
2005,Q1,8,252,0.00021270979920574808,0.05360286939984851,1.585807800278989,0.11278291570487287
2006,Q1,8,251,-1.5640145126423666e-07,-3.941316571858764e-05,-0.0037314110422286178,0.997022771648269
2007,Q1,8,251,-6.408627275807709e-05,-0.016149740735035428,-0.792137249744493,0.4282806523992928
2008,Q1,8,253,-0.0004103027900572807,-0.10339630309443473,-1.4600313062366401,0.1442814701390236
2009,Q1,9,252,0.000624502111960229,0.1573745322139777,4.108728459518026,3.978435192326224e-05
2010,Q1,9,252,-7.801941290340888e-05,-0.019660892051659037,-1.2948669481624238,0.19536613205247655
2011,Q1,9,252,-0.00018988470360868556,-0.047850945309388764,-2.21203569390771,0.026964198737336187
2012,Q1,9,250,0.00016015667338557888,0.04035948169316588,1.2295129946940395,0.21887952876041306
2013,Q1,9,252,-7.672770899684543e-05,-0.01933538266720505,-1.5975468721438189,0.11014385823460729
2014,Q1,9,252,-0.00011650042026928576,-0.029358105907860012,-2.286176069800156,0.022243960145121252
2015,Q1,9,252,0.00012452330641322945,0.03137987321613382,1.3070356819952702,0.19120059330135486
2016,Q1,9,252,-1.2788233501442642e-05,-0.0032226348423635455,-0.19589583653486722,0.8446916960985111
2017,Q1,10,251,0.00018452458769746178,0.04650019609976037,2.2820859070375117,0.02248426886857116
2018,Q1,10,251,1.8646685118078803e-05,0.004698964649755858,0.42814521017715296,0.6685454031722395
2019,Q1,10,252,9.335079863515694e-05,0.02352440125605955,1.1972026724415838,0.23122756848782677
2020,Q1,10,253,0.00017583364936364537,0.044310079639638636,0.7704403120772213,0.44103874846011915
2021,Q1,10,252,-0.00010741081208751508,-0.0270675246460538,-1.0695884577105121,0.28480459286069415
2022,Q1,10,251,-6.742700128285926e-06,-0.0016991604323280533,-0.04860205187045222,0.9612364347433067
2023,Q1,10,250,0.00017838073767297268,0.04495194589358912,1.0792572377723342,0.280473070063991
2024,Q1,10,252,-0.00011613171683812058,-0.029265192643206386,-0.6891596810189203,0.49072278629706023
2025,Q1,10,250,0.00011633273754318519,0.02931584986088267,0.8230598654834933,0.4104739505896875
2000,Q2,6,252,0.00022961820430299166,0.0578637874843539,2.577552386740709,0.009950279764271914
2001,Q2,6,248,8.710899416714099e-05,0.02195146653011953,0.9792925560474041,0.32743544746932185
2002,Q2,7,252,-4.509045614250887e-05,-0.011362794947912236,-0.8369623780129511,0.4026137156833114
2003,Q2,7,252,9.487988496166045e-05,0.023909731010338435,1.5622125011032375,0.11823793658893558
2004,Q2,7,252,-4.7727387736884896e-05,-0.012027301709694994,-0.725882989474303,0.46791050542671864
2005,Q2,7,252,1.227438850787783e-05,0.0030931459039852133,0.31776953160099614,0.7506597639312007
2006,Q2,8,251,8.93944597138043e-06,0.0022527403847878687,0.18854981167469892,0.850445671594128
2007,Q2,8,251,1.0619881428439583e-05,0.002676210119966775,0.18330959214046863,0.8545551084826188
2008,Q2,8,253,-0.00011711863289841885,-0.02951389549040155,-0.903174319007694,0.3664333853348638
2009,Q2,8,252,0.0003319101656601957,0.08364136174636932,2.7774567097350946,0.005478613755774492
2010,Q2,8,252,-6.579899988987051e-05,-0.01658134797224737,-1.5523430886265581,0.12058015306145044
2011,Q2,8,252,-1.201204391488382e-05,-0.003027035066550723,-0.25724740693628534,0.7969877896094859
2012,Q2,8,250,-3.9903531128464356e-07,-0.00010055689844373017,-0.0069108188660138474,0.9944860082151765
2013,Q2,9,252,-5.38839167517958e-05,-0.013578747021452542,-1.7508805635936033,0.07996648542814677
2014,Q2,9,252,6.963025569084395e-05,0.017546824434092678,1.3392276338994868,0.18049657891964677
2015,Q2,9,252,5.697392760297871e-05,0.014357429755950633,1.190470234695543,0.23386162224062657
2016,Q2,9,252,3.382760042992575e-05,0.00852455530834129,0.969660003480372,0.33221599314156725
